"","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength"
"1","Paul Brennan",NA,1,NA,2019-11-01,2019-11-02,FALSE,"Unable to withdraw cash","Tried to withdraw my money due to financial hardship - currently using saftynet credit from month to month. Required funding for accessible kitchen to be built due to disabilities but was refused. Easy to get money into, impossible to get out. Now having to sell car to pay off credit cards and safetynet.","Thanks for taking the time to leave us this feedback, we are currently looking into this and someone will be in touch once this is investigated. In the mean time if you require further assistance don't hesitate to get in touch by calling 03333990050. DF",305
"2","Csbai",NA,12,NA,2019-10-11,2019-10-11,FALSE,"Superb","Superb. Reinvesting with them was so painless. Really good interest rate but I did need a tablet to have the account.","Thanks for your review  and thanks for reinvesting.PF",117
"3","Stephanie Friel",NA,1,NA,2019-10-08,2019-10-08,FALSE,"Easy to use","Easy to use. Simple and good interest rates. Great!","Thanks for your great review, it is fantastic to hear you have had such a positive experience with our app. 😊We are here 24/7 should you ever need us! DF",51
"4","Miss Daisy",NA,5,NA,2019-10-06,2019-10-06,FALSE,"The account opening was easy..","The account opening was easy unlike some other online banks that have struggled with online verification processes. The interest was the best and the App is really, really  good.  Within a few seconds of sending an online deposit I received a text message confirming the deposit. I was very impressed and it was also very reassuring to receive this. I very rarely write a review these days as seldom seem to find a product or service that is deserving but Atom exceeded my expectations.","Thanks for taking the time to leave such a great review Miss Daisy. Welcome to the Atom family :) AK",486
"5","David Adams",NA,12,NA,2019-09-30,2019-09-30,FALSE,"Generally very pleased with Atom.","Generally very pleased with Atom & their app. Opening account, then maturity process all smooth for me... and their interest rates are usually very competitive. There are a couple of things I would like to see though...Despite two or three times of trying, I simply cannot get the facial recognition bit to work, neither can my Wife. We have followed, precisely, their “ensure well lit” instructions, but to no avail. In order to try again, they have to delete ALL other login data types as well, which means you have to set up everything all over again - why can’t we just redo the facial bit ??Then, a minor gripe - I really do wish that they offered a fixed rate ISA account as well because it’s good to try and keep as much interest as possible outside the tax system.Overall, though, pleased I tried them out.","Thanks for your 5 star review David. It's great to hear you have found the maturity process very smooth and have liked using our app.Thank you for your feedback regarding our face ID. We work hard constantly to ensure our biometrics work as best as they can. It does however sound like in your case we may need to reset your biometrics so we can get a better initial picture. Currently biometrics are linked to a profile and is the reason we would require you to reset all your biometrics rather than just your face ID. We take your feedback on this onboard and use this directly to improve the services we offer.We are also always looking at potential products for the future and it is great to hear about the products which would interest our customers. So thank you for letting us know.At any time should you ever need to contact us then please do not hesitate to do so! DF",814
"6","Kate Outhwaite",NA,1,NA,2019-09-28,2019-09-28,FALSE,"Brilliant","Brilliant. We ported our mortgage, with additional borrowing, at no extra cost. More impressive, during the mortgage and house purchase process, the customer service was excellent. They really went the extra mile. I would recommend.","Thanks for your great review, it is great to hear you had such a smooth experience whilst porting your mortgage.Enjoy your new house! DF",232
"7","Mrs D Harper",NA,1,NA,2019-09-27,2019-09-28,FALSE,"Staff are very helpfull on the phone…","Staff are very helpfull on the phone have not had any problems at all .","Thanks for your great review, it is fantastic to hear you have had such a positive experience with our customer support team. 😊We are here 24/7 should you ever need us! DF",71
"8","TRACEY WEEDON",NA,7,NA,2019-09-26,2019-09-28,FALSE,"Very good service always get to speak…","Very good service always get to speak with someone (instead of a computer) always informative professional and helpful.","Thank you for taking the time to leave us feedback. Its always nice to hear when a customer has had such a positive experience banking with us! DF",119
"9","Carole Meikle",NA,2,NA,2019-09-25,2019-09-25,FALSE,"Great bank","Great bank, very easy to use abd work eith.","Hi Carole.  Thanks for the kind words.  I'm glad you found the setup process easy. KD",43
"10","CR",NA,2,NA,2019-09-25,2019-09-25,FALSE,"Easy to set up and use.","Easy to set up and use. No issues at all.","Thanks for the feedback. Really happy you found the whole setup easy. KD",41
"11","Rob Campbell","https://user-images.trustpilot.com/5c3deb3d608f08e6e6df6948/73x73.png",4,NA,2019-09-25,2019-09-25,FALSE,"Pretty good!","Pretty good!The rates are market beating but the app can be a bit fiddly","Hi Rob.  Thanks for the feedback.  We are always looking to improve the App.  There is a update on the way to improve the App.  KD",72
"12","Mrs. Roxanne Davison",NA,4,NA,2019-09-25,2019-09-25,TRUE,"Excellent security measures and quick…","Excellent security measures and quick to set up.","Hi Mrs Davison.  Glad you got setup quickly.  Thanks for being part of the Atom family. KD",48
