"","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength"
"1","Wafae El Haddad",NA,1,NA,2019-11-14,NA,FALSE,"App blocked","Hello,I have installed the app and sent my identity document's pictures, but I can not pass the verification step,when it asks to say a number loudly and to position my head in the oval shape. In fact, after saying the numbers loudly and correctly position my head, it asks to look right or left then back. At this step, the app gets blocked!!Please help!Regards",NA,362
"2","Ylenia Amaddeo","https://user-images.trustpilot.com/5dcdd5169234e902a9c54441/73x73.png",1,NA,2019-11-14,NA,FALSE,"Monese 🚀","L’ho ricaricata facilmente tramite il mio conto principale, la sto usando per effettuare acquisti tramite internet e mi sto trovando benissimo!C’è in corso una promozione che permette di guadagnare 15€ subito dopo averla attivata, se vi fa piacere potete utilizzare Il mio —> ILENI057Grazie 😊",NA,292
"3","Carsten-Pascal","https://user-images.trustpilot.com/5513e0870000ff0001b413f5/73x73.png",25,NA,2019-11-14,NA,FALSE,"Vor zwei Wochen in der App registriert","Vor zwei Wochen in der App registriert, seitdem steht dort ""Bitte warten, Wir prüfen deine Infos und melden uns in Kürze"" Konto bis heute nichts nutzbar. Hauptsache alle Daten und Personalausweis erhalten. Was machen die damit, mit meinen Daten ? Wenn nicht mal das Konto aktiviert wird ?! Daten Verkaufen ?!",NA,308
"4","Roberto",NA,1,NA,2019-11-14,NA,FALSE,"Mi trovo benissimo con questa carta","Utilizzo questa carta da circa 1 anno e mi trovo benissimo. Mai avuto problemi sia con i pagamenti tramite carta (rapido il contactless) che con l'app, non capisco perché molti si lamentino. Dopo aver scaricato l'app ed essersi registrati (basta una foto fronte/retro della carta d'identità e registrare un breve video-selfie), si può richiedere l'invio della carta gratuitamente al proprio domicilio. Esiste un piano tariffario base gratuito scorrendo i vari piani a scelta verso sinistra (piano Starter). La carta è dotata di un Iban, cosa che permette di ricevere bonifici Sepa e bonifici internazionali senza costi. Inoltre ha i numeri in rilievo, come le carte di credito. Utilizzando un codice invito in fase di registrazione e effettuando un pagamento di qualsiasi importo, si ottengono 15 euro caricati sulla carta entro 48h. I bonus sono illimitati. Se volete potete utilizzare il mio codice invito ROBE951Grazie alle persone che vorranno utilizzarlo Roberto",NA,967
"5","Jovan Dimitrioski","https://user-images.trustpilot.com/5dcdb4760c48b57c27062a20/73x73.png",1,NA,2019-11-14,NA,FALSE,"CARTA CONTACTLESS MONESE","CARTA CONTACTLESS MONESERagazzi e ragazze,utilizzate il mio codice invito  JOVAN105. Una volta scaricata l'app e fatta l'iscrizione con il mio codice invito non vi resta che ordinare la carta( la carta SIMPLE che non ha spese mensili/annue) e aspettare qualche giorni che vi arrivi. Una volta arrivata e attivata la carta vi manderò qualche € giusto per fare un'acquisto(anche di 1€). Fatto l'acquisto vi verranno accreditati nel giro di 48 ore 15€ a voi e 15€ a me. Grazie a chi utilizza il mio codice e buona fortuna. ;)",NA,522
"6","Monika Rutkowska",NA,2,NA,2019-11-14,NA,FALSE,"Hej właśnie otrzymałam bonusowe 15e…","Hej właśnie otrzymałam bonusowe 15e Super szybko, super łatwo w Hollandii czekaliśmy na karte 4 dni, aktywacja 1 minuta a wszędzie działa nie jak w przypadku krajowych czy spoza Holandii. Bonusy tez extra wystarczy przy zakładaniu konta wpisac kod MONIK065. Polecamy.E,",NA,269
"7","Diogo Filipe",NA,1,NA,2019-11-14,NA,TRUE,"Intuitivo e prático","Intuitivo e prático",NA,19
"8","Billi",NA,1,NA,2019-11-14,NA,TRUE,"Très bien","Très bien , juste le parrainage est un peu flou",NA,47
"9","Lunar Ruby (Nekoselene)",NA,1,NA,2019-11-14,NA,FALSE,"Di positivo c'è che Questo conto da…","Di positivo c'è che Questo conto da opportunità infinite, mi piace, ma da quando l'ho attivato ho invitato delle persone ad iscriversi che però hanno problemi da settimane, la schermata di elaborazione è bloccata da settimane quindi ne io ne loro riusciamo a ricevere i bonus, avevo consigliato Monese con grande entusiasmo ma sono delusa di questi problemi che non vengono risolti e vorrei che al più presto le cose si sistemassero altrimenti saranno anche meno di tre stelle sinceramente",NA,489
"10","Mateusz Żubrowski","https://user-images.trustpilot.com/5dcd9365ffe68455fa8e5ca9/73x73.png",1,NA,2019-11-14,2019-11-14,FALSE,"Będzie 5 gwiazdek","Będzie 5 gwiazdek , ale mam pytanie własnie wykonałem transakcje i kiedy mogę spodziewać się otrzymania bonusu ? Pozdrawiam !",NA,125
