"","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength"
"1","James West",NA,1,NA,2019-11-14,NA,TRUE,"Outstanding functionality and service.","Outstanding functionality and service.",NA,38
"2","Craig Bodman",NA,3,NA,2019-11-14,NA,TRUE,"Just wanted to say love this bank pure…","Just wanted to say love this bank pure true to their word,",NA,58
"3","Martyn Dolby",NA,1,NA,2019-11-14,NA,TRUE,"If  All banks were as good as this Bank…best Bank Alternative","If  All banks were as good as this Bank , they would save millions in Fraudulent transaction. This bank is tops. The second my card is used , I get a verification text. When used on line I get a code to verify. Statements are precisely accurate and fully detailed with an icon showing where  you have spent your money. Very easy to use. A perfect alternative to traditional banks , a very welcome change!Would never go back to a high street bank. This bank has left them so far behind , they will never catch up************** million Stars!!!",NA,542
"4","Abdul Mohamed",NA,1,NA,2019-11-14,NA,TRUE,"Best bank right now","Best bank right now",NA,19
"5","Chris",NA,2,NA,2019-11-14,NA,TRUE,"Absolutely worth it.","Perhaps it’s having several friends who also use the app, making many of the features useful, but after reluctance to join Monzo has proven to be one of the most useful additions ever to my personal budget management. It’s easy to use and integrates extremely well with IOS. Couldn’t recommend it more.",NA,302
"6","Olive",NA,1,NA,2019-11-14,NA,TRUE,"Great!","Great, easy to use and keeps you on top of spend",NA,48
"7","Shelley Forward",NA,1,NA,2019-11-14,NA,TRUE,"Great for saving","Great for saving",NA,16
"8","Magali Piendel","https://user-images.trustpilot.com/5ab3b0bf4de5666d34484a43/73x73.png",9,NA,2019-11-14,NA,TRUE,"Super banking here with Monzo","Super banking here with Monzo, this amazing company. You can set saving pots, classify your expenses and transfer or pay so easily.A 10 Stars*********** all around!",NA,164
"9","Nikolett Lakatos",NA,1,NA,2019-11-14,2019-11-14,FALSE,"to be honest I wouldnt even give 1 star…","to be honest I wouldnt even give 1 star for these ""people"" i used this card for more than a year and suddenly they just closed my account... i called them up the costumer service couldnt even tell me the reason why they closed they just closed... now am down I cant get my money until I open a new account somewhere... PLEASE PLEASE PLEASE NEVER USE MONSO... THIS IS NOT A BANK JUST A....... ..... ....","Hi Nikolett, we can't give you any more information about your account here on Trustpilot. But here's some more information about why banks sometimes freeze or block accounts: https://monzo.com/blog/2019/04/04/why-we-block-freeze-close-monzo-accounts/",402
"10","Daniel",NA,14,NA,2019-11-14,NA,FALSE,"Was great when they were ahead...","Was great when they were ahead...So, I have been 'Full Monzo' for a little under a year. Generally had no problems. However, I have switched back to a legacy bank, and here's why:Big legacy banks are catching up, and many of the features that helped to train my financial mindset when I switched to Monzo are now being introduced. Now, I did get a financial reward from moving away from Monzo, but I have been considering for some time and see that now is the time. Monzo haven't released anything new recently and I don't think they are actually that much ahead anymore. Monzo Plus has been a disaster and there's no news of when that will be fixed, but the benefits you get at the big bank are generally free and that includes interest on balances.I will keep an account open at Monzo, but it will no longer be my main bank.",NA,826
"11","Tom L",NA,1,NA,2019-11-14,NA,TRUE,"Brilliant app","Brilliant app. Instant chat support for querying transactions. Round up all transactions and put money into a ‘pot’ - saved £100 without even realising",NA,151
"12","Tudor Moldovan",NA,1,NA,2019-11-14,NA,FALSE,"It's ok for using just monzo","It's ok for using just monzo. But if you want to transfer between accounts (UK ones) monzo is just ripping you of. Transfered 49 pounds from monese to monzo...received 40. At 400 they took 40 pounds as fee. C'mon. Will close it and throw away the card ( not speaking that even if you transfer between two sort codes tooks 2 days)",NA,329
"13","Jodi",NA,2,NA,2019-11-14,NA,TRUE,"Great","Great! Love the app and features of the account",NA,47
