"","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength"
"1","Moyra",NA,2,NA,2019-11-14,NA,FALSE,"Fabulous","Just opened an account. Amazing app and love the card. Takes the drudgery out of managing a modest income and turns it into a most enjoyable experience.",NA,152
"2","John Cheadle",NA,3,NA,2019-11-14,NA,TRUE,"Everything is just so easy to use…","Everything is just so easy to use through the app. Very simple and clear to understand. Great to be able to set up various saving pots too. I particularly like all the info about the spending, the, who what where why when how etc. Great. Thanks.",NA,245
"3","Waqar",NA,1,NA,2019-11-14,2019-11-14,TRUE,"Amazing online banking been using it…","Amazing online banking been using it for some time now and no issue at all love it 5 stars excellent online banking . Only one issue how to deposit cash in to this account if you have this as your main account thank you .","Hi Waqar,Thanks for your amazing five-star review! You can deposit cash into your account via the Post Office free of charge.More information here: https://help.starlingbank.com/hc/en-us/articles/360007302959-Can-I-deposit-cash-into-my-account-Team Starling",221
"4","Maggie Baker",NA,3,NA,2019-11-14,2019-11-14,FALSE,"I honestly cannot believe how simple…","I honestly cannot believe how simple and fast the account set up was. I have opened my buy to let account to keep money separate.You can also do international transfers I will give it couple of months before switch my main account. I am very please so far, very modern way of banking!!!","Hi Maggie,Indeed! We are the future of modern banking. Glad to hear you're enjoying using the app.Thanks,Team Starling",286
"5","Paul Banks",NA,23,NA,2019-11-14,2019-11-14,FALSE,"Started off well - gone down hill RAPIDLY","Clunky infrastructure, non-existant telephone answering, poor communication with customers (on-screen CHAT only) and arrogant staff (""I already explained why your card was declined"")","Hi Paul, Thank you for taking the time to leave your review. We're sorry to hear about your experience and issue you've had and we'll be sure to pass this feedback onto our customer service team for review.In terms of card declines there was a new rule bought in across Europe affecting contactless payments which may have caused the issue you experienced. You can find more information about this from our website - https://www.starlingbank.com/blog/making-contactless-more-secure/.Team Starling.",182
"6","Amy Hayter",NA,2,NA,2019-11-14,NA,TRUE,"Very good","Very good! I’m 16 and find it has everything I need!",NA,52
"7","David Campbell","https://user-images.trustpilot.com/5dcd6878ffe68407c78e3aca/73x73.png",1,NA,2019-11-14,2019-11-14,FALSE,"Great experience let down by poor customer service...","First of all let me qualify this review.  This rating is for customer service NOT for the banking experience per se.I actually have 2 Starling accounts, both of which were switches over from RBS as part of the Business Banking Switch programme.  The first switch went through effortlessly and to be fair so did the second.Having received my switch incentive payment for the first account within the described 7 days, I had expected the same with the second one.  Unfortunately, this is where Starling and in particular customer support, have let me down.Despite spending the best part of 2 weeks either sending messages or trying to hold a conversation with someone in support via the chat app, the latest I have is that someone will ""chase this for me"".Having tried to follow up my last communication of 2 days ago, I now feel that my messages are being ignored!If this is the experience eveyone is having then, as from the article in the Financial Times on the 3rd Nov, its is no surprise that ""RBS struggles to meet deadline to offload 120000 customers""!","Hi David,Thanks for your feedback and we're sorry to hear about the delay in paying your switching incentive. These payments are managed and paid by RBS and although we do chase up payments on behalf of customers, it's disappointing to hear you haven't received yours yet. Please do bear with us, our customer service team are on the ball and try their best for customers.Thanks,Team Starling",1057
"8","Jonathan Collett",NA,5,NA,2019-11-14,NA,TRUE,"Great bank","Great bank. Would be even better if they could offer industry leading rates on savings.",NA,87
"9","Beth Worsnop",NA,5,NA,2019-11-14,2019-11-14,FALSE,"Don’t delay, switch to Starling","I work for one of the bigger high street banks, and I’m embarrassed to say I work for them after moving to Starling.This is what an account should be. Streamlined, nothing hidden, everything at your fingertips through an app. Received my card, and wow, presented beautifully. It’s the little things, starling have really got it spot on.","Hi Beth,Thanks so much for your kind words! We work really hard to make banking transparent and the app easy to use. Glad you think so - welcome to Starling!Team Starling",336
"10","Jonathan Sharpe",NA,1,NA,2019-11-14,NA,TRUE,"This is what banking should be","This is what banking should be. Fantastic. Thank you!",NA,53
"11","EO",NA,1,NA,2019-11-14,2019-11-14,FALSE,"I am normally very happy with Starling…","I am normally very happy with Starling bank since i have opened it, no problems what so ever. However just recently, i tried withdrawing £40 and the cash machine displayed an error screen and instructed me to contact my bank, which in this case is Starling. But at the same time i have been charged, so now i'm down £40. Not sure what's happening here because support said apparently there is a ATM error and that someone would get back to me which they haven't. You're dealing with peoples money here and now i can't even withdraw or do anything and i'm down with funds.Update: It has been solved, thank you very much","Hi there,We're sorry about your recent experience, and we're keen to have a look into this for you. Could you possibly email us from your registered email address to help@starlingbank.com, using the reference number Reviews-70169, and our team will be able to pick this up. Thanks,Team Starling.",618
"12","Mohi Sami Uddin",NA,5,NA,2019-11-14,2019-11-14,FALSE,"2 months and no reply.","I've been trying to open a business account (3 attempts) and NO ONE HAS GOT BACK TO ME despite all the promises that I'll get an email back. Been approximately 2 months since I first reached out. I think I that speaks volumes. What a shame.","Hi Mohi,That doesn't sound right! Could you possibly email us from the email that you've been in contact before, to help@starlingbank.com and use the reference number Reviews-70168. Our team will be able to pick this up.Thanks,Team Starling.",240
"13","Graeme Kirkup",NA,6,NA,2019-11-13,2019-11-13,TRUE,"Happy to seamlessly use my card…","Happy to seamlessly use my card globally.  Use Starling Bank for all my local banking needs.","Hi Graeme, Thanks for the lovely feedback - we're pleased the card works so well for you.Team Starling",92
"14","Ian Baker",NA,1,NA,2019-11-13,2019-11-13,TRUE,"A great way to keep control of what you…","A great way to keep control of what you are spending","Hi Ian,Thanks for the feedback!We're really happy Starling is helping you manage your money.Team Starling",52
"15","Camilla Harris",NA,2,NA,2019-11-13,2019-11-13,FALSE,"Made the business bank switch and am regretting it","I made the switch from Nat West and am now regretting it. The incentive was one of the reasons I switched and it seems utterly impossible to get paid. I have continuously called to ask for the correct form/email I need to fill in (over a three week period) and it still hasn't been sent. Each operator seems ill informed as to how the process works and the relevant steps. The app itself is fine and reasonably user friendly but the help and advice really isn't up to scratch. Customer Service standards really need to improve both in terms of speed and knowledge.","Hi Camilla,We're really sorry to hear about this and are keen to help. If you can email help@starlingbank.com from your registered email address and the reference reviews-70164 and we'll pick up from there.Thanks, Team Starling",564
"16","Kennethtomas Kelly",NA,1,NA,2019-11-13,2019-11-13,FALSE,"Real bad service today by gem","Real bad service today by gem. The bank took money for transaction. As the review off transaction now going take 8 days too go back into my account why would i have too suffer. I want my money back into my account today. Customers should not have too suffer when its your banks fault. This is very bad service","Hi there,We're really sorry to hear this and we'd like to look into it further for you. Can you email in from your registered email to help@starlingbank.com with the reference reviews-70163 and we'll look from there?Thanks,Team Starling",309
"17","Michelle",NA,3,NA,2019-11-13,2019-11-13,FALSE,"I'm sure Starling bank are excellent…","I'm sure Starling bank are excellent but how can you be a digital bank when you are unable to allow someone to add a debit card to the apple wallet?  Couldn't even give me a reason.  I can have a physical card, overdraft and anything else I want it seems, but due to some very bizarre and unknown new EU security rules I cannot add it to use on my mobile.  At least publish the reasons Starling as I cannot find anything online to suggest this at all.  Telling me to 'just use the card' is not a good enough response.Not sure if this has happened to anyone else?  I don't have any issues with the other cards in my apple wallet.  I have since closed the account.","Hi Michelle,We understand and do apologise for any frustration that may have been caused by this issue. Unfortunately we're not able to discuss individual account information over a review.We'll take your feedback on board for future review.Team Starling",662
"18","Mrs Amanda Segal",NA,3,NA,2019-11-13,2019-11-13,FALSE,"Fabulous experience with Starling","Fabulous experience with Starling!  I can't say enough good things about this bank.  Firstly, great app and so easy to use.  I've also had great experience with customer service when needing to get my money back with a failed service.  Secondly, wow!  The business banking - compare the experience of it taking 2 months+ to set up business banking with the traditional old high street bank vs 1 day with Starling and a card arriving the next day.  And now, I find that Starling is the easiest way for me to transfer a large amount in forex to pay an invoice - gives the best rate, with all fees and costs clearly shown - even better than a dedicated currency company i contacted.  So impressed!!I wish now that Starling would offer bank accounts for teens younger than 16...","Hi Amanda,Thanks for such wonderful feedback, and for taking the time to write your review.We're so happy that everything's running smoothly and you've had a great experience with us. We believe banking should be simple just like opening an account with us!We don't have any current plans to open an account for under 16's but you never know in the future!Thanks,Team Starling",774
"19","Adele",NA,4,NA,2019-11-13,2019-11-13,TRUE,"I adore starling bank","I adore starling bank. Modern banking that let's me do what I want to do without much fuss. When you get the link to my quick books accounting you'll get that extra star. Use for business, savings and personal banking.","Hi Adele,We're glad you're enjoying the bank! We currently have integrations with FreeAgent and Xero and QuickBooks will be available very soon! We’ll put out updates as soon as we have them - we know a lot of our customers are waiting for this integration! Hopefully we'll grab that extra star then! Thanks,Team Starling",218
"20","Fiona Sorotos",NA,1,NA,2019-11-13,2019-11-13,FALSE,"Mistakes affected my credit rating","Switch under 7 day guarantee failed. My mortgage wasn't paid affecting my credit rating. Customer service terrible, some reps are rude, some just ineffective.  No sense of accountability, concern or urgency. 3 days later I rang up again and was told an in app message was sent on Monday. It wasn't. It might be okay to be this bad if they weren't a bank","Hi Fiona, we're really sorry to hear this - its not the standard of customer service we expect from our team. We can see you're already in touch with the relevant team and they are due to call you directly and pick this up with you. Many thanks. Team Starling",353
