".","Freq"
"market",201
"explanation",199
"function",197
"budget",196
"home",192
"pin",187
"passport",184
"touch",184
"choice",183
"contactless",183
"offer",180
"branch",179
"functionality",179
"bonus",178
"expense",177
"metal",176
"pound",176
"fraud",175
"fault",174
"App",170
"rates",168
"trip",168
"ban",167
"registration",167
"while",165
"benefit",164
"care",164
"hand",163
"none",163
"start",163
"internet",161
"step",161
"machine",159
"proof",159
"shop",157
"design",154
"check",153
"example",152
"info",152
"site",150
"tool",150
"recognition",149
"matter",146
"min",146
"salary",144
"web",143
"face",142
"level",142
"mail",142
"opinion",142
"side",142
"error",140
"budgeting",136
"data",136
"link",135
"technology",135
"quality",134
"seconds",134
"category",133
"identity",133
"feedback",132
"lack",132
"mistake",132
"sort",130
"word",130
"decision",128
"form",128
"live",127
"partner",127
"notifications",126
"tax",126
"hold",125
"wife",124
"management",123
"kind",122
"video",122
"advice",120
"conversion",120
"occasion",120
"trouble",119
"confirmation",118
"password",118
"stuff",118
"wage",118
"assistance",117
"improvement",117
"alternative",116
"Atom",116
"plan",115
"wallet",115
"refund",114
"premium",113
"speed",113
"period",112
"car",111
"page",111
"investment",110
"joke",110
"screen",109
"insurance",108
"opening",107
"platform",107
"age",106
"photo",106
"costumer",104
"class",103
"condition",102
"provider",102
"scam",102
"list",101
"chance",100
"community",100
"fuss",100
"rating",100
"activity",98
"notice",98
"stress",96
"type",96
"mobile",95
"mortgage",95
"section",95
"telephone",95
"conversation",94
"deal",94
"load",94
"mind",94
"possibility",94
"merchant",93
"receipt",93
"rest",93
"love",92
"value",92
"weekend",92
"alert",91
"department",91
"go",91
"concept",90
"polite",90
"sense",90
"store",90
"attempt",89
"concern",89
"comment",88
"sign",88
"air",87
"Monzo",87
"yesterday",87
"Starling",86
"action",85
"picture",85
"waste",85
"back",84
"operation",84
"procedure",84
"saver",84
"voice",84
"legacy",83
"view",82
"approach",81
"aspect",81
