".","Freq"
"eye",81
"morning",81
"shopping",81
"breath",79
"letter",79
"reservation",79
"food",78
"pleasure",77
"shame",77
"simplicity",77
"bond",76
"century",76
"rubbish",76
"tech",76
"device",75
"game",75
"method",75
"purpose",75
"software",75
"advantage",74
"beginning",74
"vault",74
"warning",74
"Bank",73
"competitor",73
"difference",73
"instruction",73
"student",73
"basis",72
"challenger",72
"delay",72
"husband",72
"night",72
"ombudsman",71
"usage",71
"location",70
"button",69
"contract",69
"income",69
"loan",69
"luck",69
"computer",68
"expectation",68
"industry",68
"opportunity",68
"set",68
"setup",68
"doubt",67
"downside",67
"FCa",67
"manager",67
"scammer",67
"transparency",67
"trust",67
"area",66
"integration",66
"source",66
"addition",65
"colour",65
"nightmare",65
"bug",64
"pocket",64
"spax",64
"ticket",64
"head",63
"regards",63
"sum",63
"centre",62
"crypto",62
"e-mail",62
"employee",62
"policy",62
"result",62
"rule",62
"standard",62
"story",62
"closure",61
"price",61
"recommendation",61
"rep",61
"surprise",61
"version",61
"confidence",60
"language",60
"note",60
"record",60
"replacement",60
"#",59
"effort",59
"history",59
"innovation",59
"institution",59
"banks",58
"claim",58
"party",58
"pm",58
"requirement",58
"return",58
"reward",58
"risk",58
"smartphone",58
"apple",57
"chat",57
"petrol",57
"promise",57
"copy",56
"house",56
"invoice",56
"nonsense",56
"try",56
"commission",55
"difficulty",55
"fan",55
"move",55
"pain",55
"penny",55
"reminder",55
"convenience",54
"forum",54
"fx",54
"incentive",54
"layout",54
"mile",54
"payee",54
"representative",54
"specialist",54
"suggestion",54
"wait",54
"colleague",53
"gift",53
"past",53
"plenty",53
"report",53
"summary",53
"authority",52
"child",52
"license",52
"MasterCard",52
"pending",52
"law",51
"protection",51
"son",51
"am",50
"attention",50
"half",50
"queue",50
"breakdown",49
"dispute",49
"evidence",49
"manner",49
"relationship",49
"style",49
"traveller",49
"excuse",48
"feeling",48
"human",48
"interaction",48
"means",48
"reference",48
"send",48
