"","diff","lwr","upr","p adj"
"monese-atom",0.659265152674826,0.632006509036139,0.686523796313514,0
"monzo-atom",0.893754071682802,0.86551288320585,0.921995260159755,0
"n26-atom",0.12586972678165,0.0959148669427464,0.155824586620553,0
"revolut-atom",0.121841976779568,0.0992631265891534,0.144420826969982,0
"starling-atom",-0.105694703061892,-0.130603052193026,-0.0807863539307581,0
"monzo-monese",0.234488919007976,0.209299536873596,0.259678301142356,0
"n26-monese",-0.533395425893177,-0.5604921761354,-0.506298675650953,0
"revolut-monese",-0.537423175895259,-0.556044258614646,-0.518802093175872,0
"starling-monese",-0.764959855736719,-0.786345975117278,-0.743573736356159,0
"n26-monzo",-0.767884344901152,-0.795969304350281,-0.739799385452024,0
"revolut-monzo",-0.771912094903234,-0.791943964391927,-0.751880225414541,0
"starling-monzo",-0.999448774744694,-1.02207391951173,-0.976823629977659,0
"revolut-n26",-0.00402775000208211,-0.0264108842015107,0.0183553841973465,0.995702075373905
"starling-n26",-0.231564429843542,-0.256295504973971,-0.206833354713113,0
"starling-revolut",-0.22753667984146,-0.242507883034916,-0.212565476648004,0
