"","diff","lwr","upr","p adj"
"monese-atom",0.401538674399726,0.186229767785327,0.616847581014124,1.61889155680939e-06
"monzo-atom",0.663499551451549,0.445789393666108,0.88120970923699,7.88616771885131e-09
"n26-atom",0.649723824616207,0.432950194981624,0.86649745425079,7.88617304792183e-09
"revolut-atom",0.126261291315624,-0.0879203079099558,0.340442890541204,0.545008134196523
"starling-atom",0.380900406050814,0.165152005619024,0.596648806482605,7.30540390225798e-06
"monzo-monese",0.261960877051823,0.214851981676595,0.309069772427051,7.8861177588152e-09
"n26-monese",0.248185150216482,0.205613543182406,0.290756757250557,7.8861177588152e-09
"revolut-monese",-0.275277383084102,-0.301645785905272,-0.248908980262931,7.8861177588152e-09
"starling-monese",-0.0206382683489113,-0.0576370184546768,0.0163604817568542,0.605337049589859
"n26-monzo",-0.0137757268353414,-0.0671810567279437,0.0396296030572609,0.977599763193345
"revolut-monzo",-0.537238260135924,-0.578892554066003,-0.495583966205846,7.8861177588152e-09
"starling-monzo",-0.282599145400734,-0.331677603453762,-0.233520687347707,7.8861177588152e-09
"revolut-n26",-0.523462533300583,-0.559906653605552,-0.487018412995614,7.8861177588152e-09
"starling-n26",-0.268823418565393,-0.313564772443572,-0.224082064687214,7.8861177588152e-09
"starling-revolut",0.25463911473519,0.224894540629513,0.284383688840868,7.8861177588152e-09
