"","diff","lwr","upr","p adj"
"monese-atom",-0.149981653124021,-0.18835808368916,-0.111605222558882,0
"monzo-atom",0.220326972974254,0.179920671944819,0.260733274003689,0
"n26-atom",-0.36778807933503,-0.407957404728802,-0.327618753941257,0
"revolut-atom",-0.22980795645162,-0.264361469425285,-0.195254443477954,0
"starling-atom",-0.117751564558279,-0.155416445943184,-0.0800866831733734,0
"monzo-monese",0.370308626098275,0.341371493496476,0.399245758700073,0
"n26-monese",-0.217806426211009,-0.246411726120703,-0.189201126301315,0
"revolut-monese",-0.0798263033275988,-0.0997921175898335,-0.059860489065364,0
"starling-monese",0.032230088565742,0.00726347545799792,0.0571967016734861,0.00320597013546875
"n26-monzo",-0.588115052309283,-0.619390952342438,-0.556839152276128,0
"revolut-monzo",-0.450134929425873,-0.473768644307678,-0.426501214544069,0
"starling-monzo",-0.338078537532533,-0.36606515058292,-0.310091924482145,0
"revolut-n26",0.13798012288341,0.114753887311887,0.161206358454933,0
"starling-n26",0.250036514776751,0.222393142157955,0.277679887395547,0
"starling-revolut",0.112056391893341,0.093494963985658,0.130617819801023,0
