"","diff","lwr","upr","p adj"
"monese-atom",-0.783496547752847,-0.826648141735075,-0.740344953770618,0
"monzo-atom",-0.416130191476912,-0.461197915657276,-0.371062467296549,0
"n26-atom",-0.629514751474169,-0.673577087495364,-0.585452415452975,0
"revolut-atom",-0.411770320651225,-0.44660873745553,-0.376931903846919,0
"starling-atom",-0.86822697983773,-0.907502490109753,-0.828951469565707,0
"monzo-monese",0.367366356275934,0.327253333651485,0.407479378900383,0
"n26-monese",0.153981796278677,0.115001746549144,0.19296184600821,0
"revolut-monese",0.371726227101622,0.343589594277086,0.399862859926158,0
"starling-monese",-0.0847304320848834,-0.118204609123311,-0.0512562550464555,0
"n26-monzo",-0.213384559997257,-0.25447572664542,-0.172293393349094,0
"revolut-monzo",0.00435987082568787,-0.026635448277251,0.0353551899286267,0.998673228212035
"starling-monzo",-0.452096788360818,-0.488007235698469,-0.416186341023166,0
"revolut-n26",0.217744430822945,0.188230036044459,0.247258825601431,0
"starling-n26",-0.238712228363561,-0.273352521676949,-0.204071935050172,0
"starling-revolut",-0.456456659186506,-0.478186264581529,-0.434727053791482,0
