"","diff","lwr","upr","p adj"
"monese-atom",-0.740270739374597,-0.761746162841982,-0.718795315907212,0
"monzo-atom",0.11274710799395,0.0888253277088537,0.136668888279047,0
"n26-atom",-0.496822721182786,-0.519188249680899,-0.474457192684673,0
"revolut-atom",-0.492337010261351,-0.510931529531492,-0.47374249099121,0
"starling-atom",-0.707315740276897,-0.728416357337758,-0.686215123216035,0
"monzo-monese",0.853017847368547,0.833132267800706,0.872903426936389,0
"n26-monese",0.243448018191811,0.22546464899301,0.261431387390612,0
"revolut-monese",0.247933729113246,0.234936004326647,0.260931453899845,0
"starling-monese",0.0329549990977002,0.0165714481062449,0.0493385500891555,1.48392382159912e-07
"n26-monzo",-0.609569829176736,-0.630413517109665,-0.588726141243808,0
"revolut-monzo",-0.605084118255301,-0.621817277207904,-0.588350959302698,0
"starling-monzo",-0.820062848270847,-0.839543056226476,-0.800582640315219,0
"revolut-n26",0.00448571092143502,-0.00993524263665312,0.0189066644795232,0.949884060481741
"starling-n26",-0.210493019094111,-0.228027094347343,-0.192958943840879,0
"starling-revolut",-0.214978730015546,-0.227347362796648,-0.202610097234444,0
