"X","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength","id","sentiment"
1,"Paul Brennan",NA,1,NA,"2019-11-01","2019-11-02",FALSE,"Unable to withdraw cash","tried to withdraw my money due to financial hardship - currently using saftynet credit from month to month. easy to get money into, impossible to get out. now having to sell car to pay off credit cards and safetynet","Thanks for taking the time to leave us this feedback, we are currently looking into this and someone will be in touch once this is investigated. In the mean time if you require further assistance don't hesitate to get in touch by calling 03333990050. DF",305,1,-4.12037037037037
2,"Csbai",NA,12,NA,"2019-10-11","2019-10-11",FALSE,"Superb"," reinvesting with them was so painless. really good interest rate but i did need a tablet to have the account","Thanks for your review  and thanks for reinvesting.PF",117,2,-1.71296296296296
3,"Stephanie Friel",NA,1,NA,"2019-10-08","2019-10-08",FALSE,"Easy to use"," simple and good interest rates","Thanks for your great review, it is fantastic to hear you have had such a positive experience with our app. 😊We are here 24/7 should you ever need us! DF",51,3,-2.63888888888889
4,"Miss Daisy",NA,5,NA,"2019-10-06","2019-10-06",FALSE,"The account opening was easy..","the account opening was easy unlike some other online banks that have struggled with online verification processes. the interest was the best and the app is really, really good","Thanks for taking the time to leave such a great review Miss Daisy. Welcome to the Atom family :) AK",486,4,-1.34259259259259
5,"David Adams",NA,12,NA,"2019-09-30","2019-09-30",FALSE,"Generally very pleased with Atom."," opening account, then maturity process all smooth for me. and their interest rates are usually very competitive. in order to try again, they have to delete all other login data types as well, which means you have to set up everything all over again - why cant we just redo the facial bit ??then, a minor gripe - i really do wish that they offered a fixed rate isa account as well because its good to try and keep as much interest as possible outside the tax system","Thanks for your 5 star review David. It's great to hear you have found the maturity process very smooth and have liked using our app.Thank you for your feedback regarding our face ID. We work hard constantly to ensure our biometrics work as best as they can. It does however sound like in your case we may need to reset your biometrics so we can get a better initial picture. Currently biometrics are linked to a profile and is the reason we would require you to reset all your biometrics rather than just your face ID. We take your feedback on this onboard and use this directly to improve the services we offer.We are also always looking at potential products for the future and it is great to hear about the products which would interest our customers. So thank you for letting us know.At any time should you ever need to contact us then please do not hesitate to do so! DF",814,5,0.0925925925925926
13,"Sue",NA,4,NA,"2019-09-25","2019-09-25",FALSE,"good rate"," very good interest rate","Hi Sue.  Thanks for taking the time to leave a super review.  KD",129,13,-2.63888888888889
14,"Elaine",NA,3,NA,"2019-09-24","2019-09-25",FALSE,"Quick and easy","quick, clear and easy to set up account. great rates of interest","Thanks for the lovely words Elaine.  I'm glad you found the setup process easy. KD",189,14,-1.66666666666667
16,"Sam",NA,2,NA,"2019-09-24","2019-09-24",FALSE,"Great 👍","great  app for saving for rainy day","Hi Sam.  I hope there aren't to many rainy days.  Thanks for being part of the Atom family. KD",36,16,-2.82407407407407
18,"Norman",NA,1,NA,"2019-09-24","2019-09-24",FALSE,"All in the App"," interest rate was the best on the market at the time which is why i chose atom in the first place","Hi Norman.  I'm glad you found the process straight forward.  Welcome to the Atom family. KD",237,18,-2.87037037037037
19,"Dani Gale",NA,1,NA,"2019-09-24","2019-09-24",FALSE,"Easy and quick"," very secure so i know my money is safe","Hi Dani.  Thanks for taking the time to leave the super review.  Thanks for being part of the Atom family. KD",95,19,-2.08333333333333
20,"Richard",NA,5,NA,"2019-09-14","2019-09-15",FALSE,"Terrible app and no HMRC tax certificates","i have an atom bank account which i took out because of the best interest rates at the time.finding anything in the app is difficult but for the sake of high interest, such as it is, i waited for the end of term which is tomorrow.o happy day!anyway and mindful of filling in my tax i always file the tax certificate ready for the great event and all other banks provide this certificate which of course shows zero tax but gives the total interest for the year, essential for tax computation. not so atom who give a statement of closing the account with individual interest payments","Thank you for taking the time to leave us your review Richard, I'm sorry to hear about the issues you've had with the app and that we don't offer a Tax Certificate.  We're always looking at ways we can improve the app and our services, I'll feed this back to our app development for you. We don't produce Tax Certificates or Tax statements because all interest is paid gross, and the statements we do issue would show all your earned interest during the time you've held the account with us. Again, thank you for your feedback and for taking the time to leave this. AA",960,20,1.11111111111111
21,"R I LEE",NA,4,NA,"2019-09-09","2019-09-09",TRUE,"New customer: Great stuff keep it up."," one of the best interest rates around at the moment as well","Thanks for the super feedback and joining the Atom family. I'm glad you found the joining process easy.  KD",303,21,-2.12962962962963
22,"Beverley Woodward","https://user-images.trustpilot.com/5240066c00006400014d76ce/73x73.png",6,NA,"2019-09-08","2019-09-09",FALSE,"Very easy to set up account","very easy to set up account","Thanks for the positive feedback Beverley and welcome to the Atom family. KD",85,22,-3.05555555555556
23,"Antoniya Kuneva","https://user-images.trustpilot.com/5b673faf4de5666d3455e844/73x73.png",2,NA,"2019-09-08","2019-09-08",TRUE,"Great interest rates and service","it was super easy to set up and very fast too so when i sent the money over from my current account into atom i was reassured straight away that they have arrived. the interest rates are some of the best ones i've managed to find!","Hi Antoniya.  Thanks for the super feedback.  I'm glad you found it easy to setup and get your money moved across to us.  welcome to the Atom family. KD",230,23,0.138888888888888
24,"Mr Harindersingh Sandhu",NA,2,NA,"2019-09-06","2019-09-06",TRUE,"Easy to set up account.","easy to set up account","Thanks for your great review. Welcome aboard :) AK",23,24,-3.05555555555556
