"X","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength","id","sentiment"
2,"Ylenia Amaddeo","https://user-images.trustpilot.com/5dcdd5169234e902a9c54441/73x73.png",1,NA,"2019-11-14",NA,FALSE,"Monese 🚀","lho ricaricata facilmente tramite il mio conto principale, la sto usando per effettuare acquisti tramite internet e mi sto trovando benissimo!c in corso una promozione che permette di guadagnare  subito dopo averla attivata, se vi fa piacere potete utilizzare il mio > ilenigrazie",NA,292,2,-0.780346820809249
4,"Roberto",NA,1,NA,"2019-11-14",NA,FALSE,"Mi trovo benissimo con questa carta"," inoltre ha i numeri in rilievo, come le carte di credito. i bonus sono illimitati. se volete potete utilizzare il mio codice invito robegrazie alle persone che vorranno utilizzarlo roberto",NA,967,4,-0.491329479768786
5,"Jovan Dimitrioski","https://user-images.trustpilot.com/5dcdb4760c48b57c27062a20/73x73.png",1,NA,"2019-11-14",NA,FALSE,"CARTA CONTACTLESS MONESE"," fatto l'acquisto vi verranno accreditati nel giro di  ore  a voi e  a me",NA,522,5,-0.780346820809249
25,"Andrei",NA,1,NA,"2019-11-13","2019-11-14",TRUE,"ok, but not enough!","there are some problems when i make my purchases in different stores, or when i withdraw money from atms","Hello Andrei!Thanks for your positive review :)About the mentioned issues, we recommend that you contact our Support Team so they can explain exactly what happened to these transactions. Unfortunately, we cannot comment on any account specifics on a public platform.Thanks for your understanding!All the best,The Monese team",105,25,-1.1849710982659
30,"Vlad",NA,2,NA,"2019-11-13",NA,TRUE,"AVOID!"," i've made a transaction of   , uk to uk account , it was pending till october . i called them about ten times asking to cancel this transaction because i already paid to person with different account . instead of resolve the issue they just suspended my account , (with money in it of course) .all those prepaid accounts companies have one excuse ""we are fca regulated company "" , i wonder how did they get the license .i strongly advice you do not keep any money with any fca regulated prepaid accounts companies . unless you are ready to lose your money",NA,977,30,-0.520231213872832
39,"Giorgio Garozzo",NA,4,NA,"2019-11-12","2019-11-12",FALSE,"BELLISSIMA","bellissima, vi consiglio di scaricare lapp e resgistrarvi con questo codice giorg e subito dopo la prima transazione riceverete  di nus e altri illimitati  nus per ogni amico invitato!!!!",NA,203,39,-0.92485549132948
43,"Gabriel",NA,2,NA,"2019-11-12","2019-11-12",FALSE,"Mi sono trovato veramente molto bene…"," i pagamenti sono veloci e ci sono bonus a dir poco illimitati","Ciao Gabriel!Perfetto! Siamo lieti di conoscere la tua esperienza positiva finora :)È anche bello sapere che ti stai godendo il nostro programma di bonus di riferimento!Grazie per la tua recensioneTi auguro il meglio,La squadra di Monese",202,43,-0.491329479768786
52,"Robert",NA,1,NA,"2019-11-11","2019-11-11",TRUE,"I cannot topup from my Maestro Card…"," with both of them i can topup my revolut account/card","Hello Robert!We're very sorry if you faced difficulties when trying to top-up through the app. We always aim to provide customers with the most fluid possible experience but sometimes isolated issues might happen.Seems like a person from our Support Team has already sent you a message about this! Kindly take a look and feel free to reply to it if necessary :)All the best,The Monese team",183,52,-0.780346820809249
53,"Matteo Ricci",NA,2,NA,"2019-11-11","2019-11-11",FALSE,"Conto bloccato / Blocked account","****they blocked my account after a year that i use very little. they ask me for documentation on where the money came from","Hello Matteo,Our sincerest apologies for any inconvenience caused to you in this situation. Please know that accounts are only suspended to comply with the regulations. You can always find more details in our Terms at monese.com/terms - sections 14 and 15. Seems like you're already in touch with our Compliance Team and that your situation is already being reviewed. We recommend you to kindly reply to their emails directly if you like to discuss your account further, as we cannot comment on any account specifics on a public platform.We appreciate your understanding.All the best,The Monese team",1590,53,-0.664739884393064
56,"Birce",NA,1,NA,"2019-11-10","2019-11-11",FALSE,"Horrible customer service"," i guess asking for a debit card is the primary thing you could ever ask from your bank and should not take you weeks until you get it","Hello Birce!We're very sorry for the long response time. Our Customer Support Team works every day to improve our communication with customers and this will surely change in a very near future. Your feedback will definitely be shared with the relevant team. Also, sometimes the response time may vary depending on the volume of incoming requests. Seems like a person from our Support Team has already replied to your Chat message, kindly take a look :)All the best,The Monese team",383,56,-0.433526011560694
