Category: Business & Industrial

Week,Monzo: (United Kingdom),Revolut: (United Kingdom)
2014-11-23,0,0
2014-11-30,0,0
2014-12-07,0,0
2014-12-14,0,0
2014-12-21,0,0
2014-12-28,0,0
2015-01-04,0,0
2015-01-11,0,0
2015-01-18,0,0
2015-01-25,3,0
2015-02-01,0,0
2015-02-08,0,0
2015-02-15,3,0
2015-02-22,0,3
2015-03-01,0,0
2015-03-08,0,0
2015-03-15,0,0
2015-03-22,0,0
2015-03-29,3,0
2015-04-05,0,0
2015-04-12,0,0
2015-04-19,3,3
2015-04-26,0,0
2015-05-03,0,3
2015-05-10,0,0
2015-05-17,0,0
2015-05-24,0,0
2015-05-31,3,0
2015-06-07,3,0
2015-06-14,0,0
2015-06-21,0,0
2015-06-28,3,0
2015-07-05,6,6
2015-07-12,3,0
2015-07-19,3,0
2015-07-26,0,3
2015-08-02,3,6
2015-08-09,0,5
2015-08-16,3,4
2015-08-23,3,3
2015-08-30,0,3
2015-09-06,0,3
2015-09-13,0,3
2015-09-20,6,3
2015-09-27,3,6
2015-10-04,3,3
2015-10-11,0,3
2015-10-18,0,3
2015-10-25,0,3
2015-11-01,0,0
2015-11-08,0,0
2015-11-15,0,4
2015-11-22,0,0
2015-11-29,3,4
2015-12-06,0,4
2015-12-13,0,3
2015-12-20,0,0
2015-12-27,0,5
2016-01-03,0,3
2016-01-10,0,4
2016-01-17,0,6
2016-01-24,3,6
2016-01-31,0,6
2016-02-07,3,5
2016-02-14,0,4
2016-02-21,3,4
2016-02-28,3,6
2016-03-06,0,4
2016-03-13,3,3
2016-03-20,6,5
2016-03-27,3,11
2016-04-03,3,3
2016-04-10,3,7
2016-04-17,0,3
2016-04-24,3,6
2016-05-01,0,6
2016-05-08,0,5
2016-05-15,3,4
2016-05-22,0,4
2016-05-29,0,6
2016-06-05,3,7
2016-06-12,3,3
2016-06-19,5,0
2016-06-26,6,7
2016-07-03,3,10
2016-07-10,3,7
2016-07-17,3,9
2016-07-24,3,6
2016-07-31,7,10
2016-08-07,0,7
2016-08-14,7,9
2016-08-21,5,5
2016-08-28,0,5
2016-09-04,3,8
2016-09-11,5,11
2016-09-18,5,3
2016-09-25,7,3
2016-10-02,5,11
2016-10-09,6,5
2016-10-16,8,6
2016-10-23,6,6
2016-10-30,5,5
2016-11-06,7,9
2016-11-13,6,7
2016-11-20,4,3
2016-11-27,6,7
2016-12-04,6,6
2016-12-11,10,9
2016-12-18,4,7
2016-12-25,7,6
2017-01-01,11,4
2017-01-08,8,3
2017-01-15,7,7
2017-01-22,14,5
2017-01-29,11,7
2017-02-05,8,9
2017-02-12,6,8
2017-02-19,12,6
2017-02-26,12,8
2017-03-05,9,6
2017-03-12,10,13
2017-03-19,7,14
2017-03-26,12,5
2017-04-02,12,8
2017-04-09,18,5
2017-04-16,9,12
2017-04-23,10,6
2017-04-30,13,8
2017-05-07,18,10
2017-05-14,10,14
2017-05-21,18,7
2017-05-28,17,12
2017-06-04,13,9
2017-06-11,12,23
2017-06-18,25,18
2017-06-25,15,15
2017-07-02,17,20
2017-07-09,12,16
2017-07-16,26,17
2017-07-23,21,21
2017-07-30,26,15
2017-08-06,12,16
2017-08-13,28,21
2017-08-20,27,15
2017-08-27,22,16
2017-09-03,31,10
2017-09-10,24,17
2017-09-17,23,21
2017-09-24,19,14
2017-10-01,28,18
2017-10-08,27,16
2017-10-15,21,19
2017-10-22,23,10
2017-10-29,26,26
2017-11-05,23,9
2017-11-12,16,13
2017-11-19,22,21
2017-11-26,16,18
2017-12-03,22,34
2017-12-10,23,35
2017-12-17,19,21
2017-12-24,12,14
2017-12-31,21,26
2018-01-07,24,27
2018-01-14,30,27
2018-01-21,31,27
2018-01-28,18,30
2018-02-04,20,21
2018-02-11,20,24
2018-02-18,18,26
2018-02-25,28,24
2018-03-04,23,27
2018-03-11,21,23
2018-03-18,21,31
2018-03-25,20,25
2018-04-01,16,30
2018-04-08,24,24
2018-04-15,26,14
2018-04-22,23,38
2018-04-29,18,38
2018-05-06,16,35
2018-05-13,30,29
2018-05-20,26,34
2018-05-27,32,31
2018-06-03,23,36
2018-06-10,32,39
2018-06-17,24,36
2018-06-24,33,37
2018-07-01,45,43
2018-07-08,22,35
2018-07-15,27,41
2018-07-22,26,42
2018-07-29,32,43
2018-08-05,26,38
2018-08-12,33,45
2018-08-19,39,67
2018-08-26,28,41
2018-09-02,31,49
2018-09-09,31,58
2018-09-16,17,36
2018-09-23,43,57
2018-09-30,36,55
2018-10-07,41,49
2018-10-14,35,37
2018-10-21,33,46
2018-10-28,44,39
2018-11-04,44,35
2018-11-11,45,33
2018-11-18,31,39
2018-11-25,52,39
2018-12-02,66,35
2018-12-09,37,37
2018-12-16,44,33
2018-12-23,24,26
2018-12-30,31,28
2019-01-06,47,47
2019-01-13,50,46
2019-01-20,51,52
2019-01-27,47,49
2019-02-03,54,62
2019-02-10,51,48
2019-02-17,43,54
2019-02-24,50,66
2019-03-03,46,58
2019-03-10,49,48
2019-03-17,45,44
2019-03-24,61,50
2019-03-31,64,52
2019-04-07,52,39
2019-04-14,52,39
2019-04-21,51,38
2019-04-28,45,44
2019-05-05,57,49
2019-05-12,65,53
2019-05-19,64,51
2019-05-26,71,52
2019-06-02,71,58
2019-06-09,82,53
2019-06-16,85,60
2019-06-23,98,60
2019-06-30,89,75
2019-07-07,89,55
2019-07-14,81,74
2019-07-21,85,67
2019-07-28,89,66
2019-08-04,90,68
2019-08-11,77,75
2019-08-18,75,67
2019-08-25,84,54
2019-09-01,84,75
2019-09-08,89,86
2019-09-15,79,64
2019-09-22,97,75
2019-09-29,100,83
2019-10-06,94,66
2019-10-13,78,88
2019-10-20,81,67
2019-10-27,75,81
2019-11-03,80,76
2019-11-10,75,75
2019-11-17,64,77
